Hour of the day,Day of the week,Campaign type,Search top IS,Search lost IS (budget),Search lost IS (rank)
7,Thursday,Search,< 10%,25.01%,61.74%
7,Thursday,Shopping,--,--,--
7,Thursday,Video,--,--,--
7,Thursday,Demand Gen,--,--,--
7,Thursday,Performance Max,--,8.32%,88.47%
7,Friday,Search,< 10%,27.24%,58.83%
7,Friday,Shopping,--,--,--
7,Friday,Video,--,--,--
7,Friday,Demand Gen,--,--,--
7,Friday,Performance Max,--,13.3%,83.27%
7,Saturday,Search,10.62%,28.37%,57.52%
7,Saturday,Shopping,--,--,--
7,Saturday,Video,--,--,--
7,Saturday,Demand Gen,--,--,--
7,Saturday,Performance Max,--,12.92%,83.28%
8,Sunday,Search,10.69%,35.12%,50.68%
8,Sunday,Shopping,--,--,--
8,Sunday,Video,--,--,--
8,Sunday,Demand Gen,--,--,--
8,Sunday,Performance Max,--,18.34%,78.75%
8,Monday,Search,< 10%,37.18%,49.23%
8,Monday,Shopping,--,--,--
8,Monday,Video,--,--,--
8,Monday,Demand Gen,--,--,--
8,Monday,Performance Max,--,15.39%,81.55%
8,Tuesday,Search,< 10%,30.69%,55.9%
8,Tuesday,Shopping,--,--,--
8,Tuesday,Video,--,--,--
8,Tuesday,Demand Gen,--,--,--
8,Tuesday,Performance Max,--,12.25%,84.51%
8,Wednesday,Search,< 10%,29.35%,57.33%
8,Wednesday,Shopping,--,--,--
8,Wednesday,Video,--,--,--
8,Wednesday,Demand Gen,--,--,--
8,Wednesday,Performance Max,--,6.82%,89.79%
8,Thursday,Search,< 10%,26.31%,60.58%
8,Thursday,Shopping,--,--,--
8,Thursday,Video,--,--,--
8,Thursday,Demand Gen,--,--,--
8,Thursday,Performance Max,--,8.77%,88.07%
8,Friday,Search,< 10%,29.42%,56.87%
8,Friday,Shopping,--,--,--
8,Friday,Video,--,--,--
8,Friday,Demand Gen,--,--,--
8,Friday,Performance Max,--,12.17%,84.36%
8,Saturday,Search,< 10%,27.59%,58.99%
8,Saturday,Shopping,--,--,--
8,Saturday,Video,--,--,--
8,Saturday,Demand Gen,--,--,--
8,Saturday,Performance Max,--,12.75%,83.47%
9,Sunday,Search,10.77%,36.34%,49.31%
9,Sunday,Shopping,--,--,--
9,Sunday,Video,--,--,--
9,Sunday,Demand Gen,--,--,--
9,Sunday,Performance Max,--,19.07%,78%
9,Monday,Search,< 10%,37.08%,49.57%
9,Monday,Shopping,--,--,--
9,Monday,Video,--,--,--
9,Monday,Demand Gen,--,--,--
9,Monday,Performance Max,--,15.06%,81.93%
9,Tuesday,Search,< 10%,31.76%,55.14%
9,Tuesday,Shopping,--,--,--
9,Tuesday,Video,--,--,--
9,Tuesday,Demand Gen,--,--,--
9,Tuesday,Performance Max,--,12.4%,84.43%
9,Wednesday,Search,< 10%,28.62%,58.09%
9,Wednesday,Shopping,--,--,--
9,Wednesday,Video,--,--,--
9,Wednesday,Demand Gen,--,--,--
9,Wednesday,Performance Max,--,6.59%,89.96%
9,Thursday,Search,< 10%,26.23%,61.13%
9,Thursday,Shopping,--,--,--
9,Thursday,Video,--,--,--
9,Thursday,Demand Gen,--,--,--
9,Thursday,Performance Max,--,8.76%,88.01%
9,Friday,Search,10.51%,28.37%,57.14%
9,Friday,Shopping,--,--,--
9,Friday,Video,--,--,--
9,Friday,Demand Gen,--,--,--
9,Friday,Performance Max,--,12.07%,84.58%
9,Saturday,Search,< 10%,28.47%,58.51%
9,Saturday,Shopping,--,--,--
9,Saturday,Video,--,--,--
9,Saturday,Demand Gen,--,--,--
9,Saturday,Performance Max,--,12.57%,83.66%
10,Sunday,Search,< 10%,37.06%,49.64%
10,Sunday,Shopping,--,--,--
10,Sunday,Video,--,--,--
10,Sunday,Demand Gen,--,--,--
10,Sunday,Performance Max,--,19.37%,77.88%
10,Monday,Search,< 10%,38%,49.07%
10,Monday,Shopping,--,--,--
10,Monday,Video,--,--,--
10,Monday,Demand Gen,--,--,--
10,Monday,Performance Max,--,14.81%,82.35%
10,Tuesday,Search,< 10%,32.84%,54.35%
10,Tuesday,Shopping,--,--,--
10,Tuesday,Video,--,--,--
10,Tuesday,Demand Gen,--,--,--
10,Tuesday,Performance Max,--,12.82%,84.13%
10,Wednesday,Search,< 10%,27.38%,59.67%
10,Wednesday,Shopping,--,--,--
10,Wednesday,Video,--,--,--
10,Wednesday,Demand Gen,--,--,--
10,Wednesday,Performance Max,--,7.02%,89.51%
10,Thursday,Search,< 10%,26.76%,60.76%
10,Thursday,Shopping,--,--,--
10,Thursday,Video,--,--,--
10,Thursday,Demand Gen,--,--,--
10,Thursday,Performance Max,--,9.19%,87.72%
10,Friday,Search,< 10%,28.93%,57.35%
10,Friday,Shopping,--,--,--
10,Friday,Video,--,--,--
10,Friday,Demand Gen,--,--,--
10,Friday,Performance Max,--,11.78%,83.99%
10,Saturday,Search,< 10%,28.02%,58.78%
10,Saturday,Shopping,--,--,--
10,Saturday,Video,--,--,--
10,Saturday,Demand Gen,--,--,--
10,Saturday,Performance Max,--,12.51%,83.84%
11,Sunday,Search,< 10%,37.3%,49.46%
11,Sunday,Shopping,--,--,--
11,Sunday,Video,--,--,--
11,Sunday,Demand Gen,--,--,--
11,Sunday,Performance Max,--,19.42%,77.81%
11,Monday,Search,< 10%,37.13%,50.05%
11,Monday,Shopping,--,--,--
11,Monday,Video,--,--,--
11,Monday,Demand Gen,--,--,--
11,Monday,Performance Max,--,15.31%,81.72%
11,Tuesday,Search,< 10%,30.88%,56.42%
11,Tuesday,Shopping,--,--,--
11,Tuesday,Video,--,--,--
11,Tuesday,Demand Gen,--,--,--
11,Tuesday,Performance Max,--,13.07%,83.97%
11,Wednesday,Search,< 10%,27.13%,60.25%
11,Wednesday,Shopping,--,--,--
11,Wednesday,Video,--,--,--
11,Wednesday,Demand Gen,--,--,--
11,Wednesday,Performance Max,--,7.14%,89.67%
11,Thursday,Search,< 10%,26.44%,60.85%
11,Thursday,Shopping,--,--,--
11,Thursday,Video,--,--,--
11,Thursday,Demand Gen,--,--,--
