Month,Hour of the day,Day of the week,Campaign type,Search top IS,Search lost IS (budget),Search lost IS (rank)
January 2024,16,Sunday,Performance Max,--,6.03%,87.98%
January 2024,16,Monday,Search,< 10%,12.89%,75.47%
January 2024,16,Monday,Shopping,--,--,--
January 2024,16,Monday,Performance Max,--,11.44%,83.74%
January 2024,16,Tuesday,Search,< 10%,19.56%,68.05%
January 2024,16,Tuesday,Shopping,--,--,--
January 2024,16,Tuesday,Performance Max,--,2.33%,> 90%
January 2024,16,Wednesday,Search,< 10%,1.86%,84.19%
January 2024,16,Wednesday,Shopping,--,--,--
January 2024,16,Wednesday,Performance Max,--,22.03%,72.54%
January 2024,16,Thursday,Search,< 10%,1.54%,83.33%
January 2024,16,Thursday,Shopping,--,--,--
January 2024,16,Thursday,Performance Max,--,17.11%,78.49%
January 2024,16,Friday,Search,< 10%,24.15%,66.09%
January 2024,16,Friday,Shopping,--,--,--
January 2024,16,Friday,Performance Max,--,12.86%,82.6%
January 2024,16,Saturday,Search,< 10%,20.77%,67.99%
January 2024,16,Saturday,Shopping,--,--,--
January 2024,16,Saturday,Performance Max,--,33.79%,60.71%
January 2024,17,Sunday,Search,10.42%,30.09%,55.84%
January 2024,17,Sunday,Shopping,--,--,--
January 2024,17,Sunday,Performance Max,--,6.32%,88.09%
January 2024,17,Monday,Search,< 10%,8.85%,78.32%
January 2024,17,Monday,Shopping,--,--,--
January 2024,17,Monday,Performance Max,--,11.48%,83.52%
January 2024,17,Tuesday,Search,< 10%,18.93%,67.76%
January 2024,17,Tuesday,Shopping,--,--,--
January 2024,17,Tuesday,Performance Max,--,2.22%,> 90%
January 2024,17,Wednesday,Search,10.74%,1.82%,82.6%
January 2024,17,Wednesday,Shopping,--,--,--
January 2024,17,Wednesday,Performance Max,--,21.78%,72.73%
January 2024,17,Thursday,Search,< 10%,0.9%,84.62%
January 2024,17,Thursday,Shopping,--,--,--
January 2024,17,Thursday,Performance Max,--,15.47%,80.19%
January 2024,17,Friday,Search,< 10%,22.45%,66.49%
January 2024,17,Friday,Shopping,--,--,--
January 2024,17,Friday,Performance Max,--,12.54%,83.4%
January 2024,17,Saturday,Search,< 10%,21.6%,67.49%
January 2024,17,Saturday,Shopping,--,--,--
January 2024,17,Saturday,Performance Max,--,31.81%,62.91%
January 2024,18,Sunday,Search,11.09%,26.35%,58.16%
January 2024,18,Sunday,Shopping,--,--,--
January 2024,18,Sunday,Performance Max,--,5.93%,88.35%
January 2024,18,Monday,Search,< 10%,1.87%,80.18%
January 2024,18,Monday,Shopping,--,--,--
January 2024,18,Monday,Performance Max,--,9.77%,85.18%
January 2024,18,Tuesday,Search,< 10%,14.23%,71.82%
January 2024,18,Tuesday,Shopping,--,--,--
January 2024,18,Tuesday,Performance Max,--,2.2%,> 90%
January 2024,18,Wednesday,Search,< 10%,1.82%,85%
January 2024,18,Wednesday,Shopping,--,--,--
January 2024,18,Wednesday,Performance Max,--,21.83%,73.05%
January 2024,18,Thursday,Search,< 10%,1.18%,85.12%
January 2024,18,Thursday,Shopping,--,--,--
January 2024,18,Thursday,Performance Max,--,14.64%,81.32%
January 2024,18,Friday,Search,< 10%,20.95%,69.28%
January 2024,18,Friday,Shopping,--,--,--
January 2024,18,Friday,Performance Max,--,10.07%,85.63%
January 2024,18,Saturday,Search,< 10%,27.91%,60.47%
January 2024,18,Saturday,Shopping,--,--,--
January 2024,18,Saturday,Performance Max,--,31.07%,63.68%
January 2024,19,Sunday,Search,13.33%,4.97%,72.62%
January 2024,19,Sunday,Shopping,--,--,--
January 2024,19,Sunday,Performance Max,--,6.59%,88.31%
January 2024,19,Monday,Search,< 10%,2.02%,81.81%
January 2024,19,Monday,Shopping,--,--,--
January 2024,19,Monday,Performance Max,--,10.37%,84.43%
January 2024,19,Tuesday,Search,< 10%,13.27%,72.64%
January 2024,19,Tuesday,Shopping,--,--,--
January 2024,19,Tuesday,Performance Max,--,1.83%,> 90%
January 2024,19,Wednesday,Search,< 10%,1.79%,84.73%
January 2024,19,Wednesday,Shopping,--,--,--
January 2024,19,Wednesday,Performance Max,--,21.31%,73.62%
January 2024,19,Thursday,Search,< 10%,1.09%,84%
January 2024,19,Thursday,Shopping,--,--,--
