groupName,campaignName,assetGroupName,listingGroupKey,weekday,avgROAS,avgCost,stability
CA_PerformanceMax_ExcludeAllBrands_MaxConvValue / Feed - Assets - Interests / 6561577181~12413812542,CA_PerformanceMax_ExcludeAllBrands_MaxConvValue,Feed - Assets - Interests,6561577181~12413812542,1,0.0,0.0,1.0
CA_PerformanceMax_ExcludeAllBrands_MaxConvValue / Feed - Assets - Interests / 6561577181~12413812542,CA_PerformanceMax_ExcludeAllBrands_MaxConvValue,Feed - Assets - Interests,6561577181~12413812542,2,0.0,0.0,1.0
CA_PerformanceMax_ExcludeAllBrands_MaxConvValue / Feed - Assets - Interests / 6561577181~12413812542,CA_PerformanceMax_ExcludeAllBrands_MaxConvValue,Feed - Assets - Interests,6561577181~12413812542,3,0.0,0.11,1.0
CA_PerformanceMax_ExcludeAllBrands_MaxConvValue / Feed - Assets - Interests / 6561577181~12413812542,CA_PerformanceMax_ExcludeAllBrands_MaxConvValue,Feed - Assets - Interests,6561577181~12413812542,4,0.0,0.0,1.0
CA_PerformanceMax_ExcludeAllBrands_MaxConvValue / Feed - Assets - Interests / 6561577181~12413812542,CA_PerformanceMax_ExcludeAllBrands_MaxConvValue,Feed - Assets - Interests,6561577181~12413812542,5,0.0,0.72,1.0
CA_PerformanceMax_ExcludeAllBrands_MaxConvValue / Feed - Assets - Interests / 6561577181~12413812542,CA_PerformanceMax_ExcludeAllBrands_MaxConvValue,Feed - Assets - Interests,6561577181~12413812542,6,0.0,0.4,1.0
CA_PerformanceMax_ExcludeAllBrands_MaxConvValue / Feed Only - No Interests / 6561589968~12420185291,CA_PerformanceMax_ExcludeAllBrands_MaxConvValue,Feed Only - No Interests,6561589968~12420185291,0,0.0,0.0,1.0
CA_PerformanceMax_ExcludeAllBrands_MaxConvValue / Feed Only - No Interests / 6561589968~12420185291,CA_PerformanceMax_ExcludeAllBrands_MaxConvValue,Feed Only - No Interests,6561589968~12420185291,1,0.0,0.0,1.0
CA_PerformanceMax_ExcludeAllBrands_MaxConvValue / Feed Only - No Interests / 6561589968~12420185291,CA_PerformanceMax_ExcludeAllBrands_MaxConvValue,Feed Only - No Interests,6561589968~12420185291,2,0.0,0.0,1.0
CA_PerformanceMax_ExcludeAllBrands_MaxConvValue / Feed Only - No Interests / 6561589968~12420185291,CA_PerformanceMax_ExcludeAllBrands_MaxConvValue,Feed Only - No Interests,6561589968~12420185291,3,0.0,0.0,1.0
CA_PerformanceMax_ExcludeAllBrands_MaxConvValue / Feed Only - No Interests / 6561589968~12420185291,CA_PerformanceMax_ExcludeAllBrands_MaxConvValue,Feed Only - No Interests,6561589968~12420185291,4,0.0,0.34,1.0
CA_PerformanceMax_ExcludeAllBrands_MaxConvValue / Feed Only - No Interests / 6561589968~12420185291,CA_PerformanceMax_ExcludeAllBrands_MaxConvValue,Feed Only - No Interests,6561589968~12420185291,5,0.0,0.0,1.0
CA_PerformanceMax_ExcludeAllBrands_MaxConvValue / Feed Only - No Interests / 6561589968~12420185291,CA_PerformanceMax_ExcludeAllBrands_MaxConvValue,Feed Only - No Interests,6561589968~12420185291,6,0.0,0.0,1.0
CA_PerformanceMax_TotalCoverage_MaxConvValue / Feed Only / 6561590859~12420199232,CA_PerformanceMax_TotalCoverage_MaxConvValue,Feed Only,6561590859~12420199232,0,0.0,0.38,1.0
CA_PerformanceMax_TotalCoverage_MaxConvValue / Feed Only / 6561590859~12420199232,CA_PerformanceMax_TotalCoverage_MaxConvValue,Feed Only,6561590859~12420199232,1,0.0,0.24,1.0
CA_PerformanceMax_TotalCoverage_MaxConvValue / Feed Only / 6561590859~12420199232,CA_PerformanceMax_TotalCoverage_MaxConvValue,Feed Only,6561590859~12420199232,2,0.0,0.78,1.0
CA_PerformanceMax_TotalCoverage_MaxConvValue / Feed Only / 6561590859~12420199232,CA_PerformanceMax_TotalCoverage_MaxConvValue,Feed Only,6561590859~12420199232,3,0.0,4.97,1.0
CA_PerformanceMax_TotalCoverage_MaxConvValue / Feed Only / 6561590859~12420199232,CA_PerformanceMax_TotalCoverage_MaxConvValue,Feed Only,6561590859~12420199232,4,0.0,0.77,1.0
CA_PerformanceMax_TotalCoverage_MaxConvValue / Feed Only / 6561590859~12420199232,CA_PerformanceMax_TotalCoverage_MaxConvValue,Feed Only,6561590859~12420199232,5,0.0,3.39,1.0
CA_PerformanceMax_TotalCoverage_MaxConvValue / Feed Only / 6561590859~12420199232,CA_PerformanceMax_TotalCoverage_MaxConvValue,Feed Only,6561590859~12420199232,6,9.487,0.14,0.0
CA_PerformanceMax_ExcludeAllBrands_MaxConvValue / Feed Only - Interests / 6561591147~12413807856,CA_PerformanceMax_ExcludeAllBrands_MaxConvValue,Feed Only - Interests,6561591147~12413807856,0,0.0,0.0,1.0
