campaignId,campaignName,assetGroupId,assetGroupName,assetId,assetType,assetText,performanceLabel,impressions,clicks,conversions,convValue,cost,ctr,cvrConv,cvrVal,roas,prev_ctr,prev_cvrConv,prev_cvrVal,prev_roas,ctr_change,cvr_change,roas_change,momentum_ctr,momentum_cvr,isFatigued,isWinner
21485040172,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA,6506892143,Feed Only - No Interests,43673935045,TEXT,See Why They Rate Us 4.9/5,UNKNOWN,155,1,0.0,0.0,1.77264,0.0064516129032258064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Accelerating,Stable,False,False
20586946478,US_PerformanceMax_TotalCoverage_MaxConvtCPA,6507837599,Feed - Assets - Interests,43673935045,TEXT,See Why They Rate Us 4.9/5,LOW,7362,277,0.666667,1114.663225028,2486.293373,0.037625645205107305,0.002406740072202166,4.024054963999999,0.4483232900560846,0.03327624174210913,0.01700624019607843,32.624175862455886,3.3975381159662392,0.1307059702446584,-0.8584790027394091,-0.868044662118946,Stable,Declining,True,False
21485040172,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA,6507862840,Feed - Assets - Interests,43673935045,TEXT,See Why They Rate Us 4.9/5,LOW,5071,119,0.0,0.0,838.719207,0.023466771839873793,0.0,0.0,0.0,0.027906976744186046,0.01289682142857143,33.58916939444643,5.441575793876754,-0.1591073424045224,-1.0,-1.0,Declining,Declining,True,False
22339607928,CA_PerformanceMax_TotalCoverage_MaxConvValue,6561576731,Feed Only - Interests,43673935045,TEXT,See Why They Rate Us 4.9/5,UNKNOWN,254,34,0.0,0.0,153.41219,0.13385826771653545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Accelerating,Stable,False,False
22339607928,CA_PerformanceMax_TotalCoverage_MaxConvValue,6561576740,Feed - Assets - Interests,43673935045,TEXT,See Why They Rate Us 4.9/5,LOW,4297,247,3.101177,7447.682861559,1576.832644,0.057481964161042585,0.012555372469635628,30.152562192546558,4.723191703252815,0.06292947558770344,0.0028735632183908046,7.248620689655172,0.8322255731718569,-0.08656533962481185,3.3692696194331986,4.675374388281941,Stable,Accelerating,True,True
22339607928,CA_PerformanceMax_TotalCoverage_MaxConvValue,6561590859,Feed Only,43673935045,TEXT,See Why They Rate Us 4.9/5,UNKNOWN,47,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stable,Stable,False,False
22339607928,CA_PerformanceMax_TotalCoverage_MaxConvValue,6611115579,Feed - Assets - Interests (BREEZE25),43673935045,TEXT,See Why They Rate Us 4.9/5,UNKNOWN,124,4,0.0,0.0,16.69,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Accelerating,Stable,False,False
20586946478,US_PerformanceMax_TotalCoverage_MaxConvtCPA,6611115612,Feed - Assets - Interests (BREEZE25),43673935045,TEXT,See Why They Rate Us 4.9/5,BEST,296,1,0.0,0.0,11.203979,0.0033783783783783786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Accelerating,Stable,False,True
21485040172,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA,6611163976,Feed - Assets - Interests (BREEZE25),43673935045,TEXT,See Why They Rate Us 4.9/5,LOW,366,3,0.0,0.0,3.054881,0.00819672131147541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Accelerating,Stable,True,False
20586946478,US_PerformanceMax_TotalCoverage_MaxConvtCPA,6477743034,Feed Only,56331252614,TEXT,Read our satisfied customer reviews. Join our family of well-rested customers. Shop today!,UNKNOWN,10436,328,1.690545,4215.345936402,2538.864533,0.03142966653890379,0.005154100609756097,12.85166444025,1.6603272374761242,0.030252977484134573,0.007765060344827586,18.83345515055891,2.244515083170596,0.038894983324742304,-0.3362446161555827,-0.2602735219178165,Stable,Declining,False,False
20586946478,US_PerformanceMax_TotalCoverage_MaxConvtCPA,6482133486,Feed Only - Interests,56331252614,TEXT,Read our satisfied customer reviews. Join our family of well-rested customers. Shop today!,UNKNOWN,15877,550,3.5,8659.8159696,3303.441262,0.034641305032436856,0.006363636363636364,15.745119944727273,2.62145298880147,0.03647563676633444,0.016259597722960154,39.09918293237761,5.527929087652406,-0.05028923129288858,-0.6086227671764424,-0.525780279154278,Stable,Declining,False,False
21485040172,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA,6506889828,Feed Only - Interests,56331252614,TEXT,Read our satisfied customer reviews. Join our family of well-rested customers. Shop today!,UNKNOWN,8564,169,1.189923,3086.573672296,784.976343,0.019733769266697804,0.00704096449704142,18.263749540213016,3.9320594815632552,0.03437401450646484,0.009174311926605505,24.05169429419266,7.3455196460715655,-0.42591025371836017,-0.23253486982248522,-0.4646996167703196,Declining,Declining,True,False
